CoC,Count,"Sheltered ES Homeless, 2007","Sheltered TH Homeless, 2007","Sheltered Total Homeless, 2007","Unsheltered Homeless, 2007","Overall Homeless Individuals, 2007","Sheltered ES Homeless Individuals, 2007","Sheltered TH Homeless Individuals, 2007","Sheltered Total Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Overall Homeless People in Families, 2007","Sheltered ES Homeless People in Families, 2007","Sheltered TH Homeless People in Families, 2007","Sheltered Total Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Overall Homeless Family Households, 2007","Sheltered ES Homeless Family Households, 2007","Sheltered TH Homeless Family Households, 2007","Sheltered Total Homeless Family Households, 2007","Unsheltered Homeless Family Households, 2007","Overall Chronically Homeless Individuals, 2007","Sheltered Total Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007"
MD-505,634,409,167,576,58,192,125,21,146,46,442,284,146,430,12,117,73,41,114,3,46,0,46
MD-506,174,96,65,161,13,124,69,44,113,11,50,27,21,48,2,19,10,8,18,1,31,28,3
MD-507,119,61,56,117,2,77,36,39,75,2,42,25,17,42,0,15,9,6,15,0,26,24,2
MD-508,1973,130,172,302,"1,671",563,77,77,154,409,"1,410",53,95,148,"1,262",419,17,33,50,369,243,75,168
MD-509,223,70,144,214,9,142,62,71,133,9,81,8,73,81,0,28,3,25,28,0,42,33,9
MD-510,82,38,25,63,19,33,23,1,24,9,49,15,24,39,10,24,7,12,19,5,0,0,0
MD-511,311,95,44,139,172,200,51,24,75,125,111,44,20,64,47,32,13,6,19,13,63,0,63
MD-512,212,167,42,209,3,104,59,42,101,3,108,108,0,108,0,34,34,0,34,0,11,8,3
MD-513,215,150,28,178,37,138,95,13,108,30,77,55,15,70,7,34,25,6,31,3,53,42,11
MD-600,1168,429,394,823,345,806,247,214,461,345,362,182,180,362,0,111,57,54,111,0,264,104,160
MD-601,1139,529,487,"1,016",123,640,310,207,517,123,499,219,280,499,0,151,65,86,151,0,231,156,75
ME-500,2638,664,"1,912","2,576",62,"1,136",451,637,"1,088",48,"1,502",213,"1,275","1,488",14,502,74,423,497,5,97,67,30
MI-500,2434,873,551,"1,424","1,010","1,064",326,182,508,556,"1,370",547,369,916,454,456,187,113,300,156,158,79,79
MI-501,18062,"3,399","1,339","4,738","13,324","11,913","2,608","1,027","3,635","8,278","6,149",791,312,"1,103","5,046","1,520",258,128,386,"1,134","1,503",261,"1,242"
MI-502,865,374,244,618,247,513,292,124,416,97,352,82,120,202,150,97,23,31,54,43,122,42,80
MI-503,769,215,36,251,518,541,140,28,168,373,228,75,8,83,145,77,23,3,26,51,163,32,131
MI-504,1011,122,280,402,609,804,50,152,202,602,207,72,128,200,7,37,27,9,36,1,123,100,23
MI-505,354,180,33,213,141,257,114,24,138,119,97,66,9,75,22,34,22,5,27,7,27,10,17
MI-506,912,333,474,807,105,462,225,153,378,84,450,108,321,429,21,161,32,114,146,15,74,34,40
MI-507,614,476,117,593,21,288,255,12,267,21,326,221,105,326,0,105,70,35,105,0,42,37,5
MI-508,408,291,100,391,17,205,127,61,188,17,203,164,39,203,0,77,60,17,77,0,122,105,17
MI-509,413,239,118,357,56,285,168,61,229,56,128,71,57,128,0,39,21,18,39,0,85,48,37
MI-510,361,117,157,274,87,237,85,93,178,59,124,32,64,96,28,43,14,20,34,9,57,56,1
MI-511,93,74,11,85,8,45,42,1,43,2,48,32,10,42,6,16,10,4,14,2,20,19,1
MI-512,241,98,118,216,25,165,80,60,140,25,76,18,58,76,0,26,6,20,26,0,55,36,19
MI-513,37,14,23,37,0,16,8,8,16,0,21,6,15,21,0,8,3,5,8,0,0,0,0
MI-514,205,58,59,117,88,140,18,42,60,80,65,40,17,57,8,21,14,3,17,4,41,36,5
MI-515,142,84,47,131,11,109,51,47,98,11,33,33,0,33,0,12,12,0,12,0,16,6,10
MI-516,332,84,63,147,185,152,56,44,100,52,180,28,19,47,133,82,13,7,20,62,75,21,54
MI-517,463,83,199,282,181,186,56,19,75,111,277,27,180,207,70,123,12,90,102,21,23,0,23
MI-518,63,23,35,58,5,25,15,5,20,5,38,8,30,38,0,13,3,10,13,0,4,3,1
MI-519,319,142,164,306,13,109,75,31,106,3,210,67,133,200,10,66,17,45,62,4,3,0,3
MI-523,197,46,59,105,92,37,1,1,2,35,160,45,58,103,57,43,13,13,26,17,3,2,1
MN-500,2984,"1,601",827,"2,428",556,"1,511",649,342,991,520,"1,473",952,485,"1,437",36,479,263,204,467,12,763,567,196
MN-501,1294,496,674,"1,170",124,618,315,188,503,115,676,181,486,667,9,216,66,147,213,3,240,189,51
MN-502,446,154,259,413,33,143,87,40,127,16,303,67,219,286,17,"1,191",23,"1,161","1,184",7,32,26,6
MN-503,800,130,534,664,136,141,24,71,95,46,659,106,463,569,90,210,35,151,186,24,39,19,20
MN-504,232,42,74,116,116,76,10,6,16,60,156,32,68,100,56,49,11,20,31,18,27,7,20
MN-505,389,201,112,313,76,187,104,40,144,43,202,97,72,169,33,71,34,26,60,11,69,33,36
MN-506,266,72,163,235,31,114,34,57,91,23,152,38,106,144,8,55,11,41,52,3,45,34,11
MN-508,242,87,78,165,77,144,50,25,75,69,98,37,53,90,8,35,10,21,31,4,82,49,33
MN-509,501,82,212,294,207,270,56,49,105,165,231,26,163,189,42,75,9,54,63,12,105,35,70
MN-511,169,34,46,80,89,65,14,20,34,31,104,20,26,46,58,30,7,7,14,16,12,8,4
MO-500,336,222,68,290,46,90,50,0,50,40,246,172,68,240,6,69,50,17,67,2,44,18,26
MO-501,1386,627,546,"1,173",213,800,443,144,587,213,586,184,402,586,0,196,77,119,196,0,258,238,20
MO-503,498,138,89,227,271,222,79,34,113,109,276,59,55,114,162,110,25,21,46,64,38,15,23
MO-600,518,222,256,478,40,326,73,213,286,40,192,149,43,192,0,65,49,16,65,0,94,76,18
MO-602,306,65,233,298,8,219,58,153,211,8,87,7,80,87,0,30,3,27,30,0,21,13,8
MO-603,100,100,0,100,0,65,65,0,65,0,35,35,0,35,0,10,10,0,10,0,49,49,0
MO-604a,1786,877,698,"1,575",211,947,525,239,764,183,839,352,459,811,28,246,103,136,239,7,495,382,113
