CoC,Count,"Sheltered ES Homeless, 2009","Sheltered TH Homeless, 2009","Sheltered Total Homeless, 2009","Unsheltered Homeless, 2009","Overall Homeless Individuals, 2009","Sheltered ES Homeless Individuals, 2009","Sheltered TH Homeless Individuals, 2009","Sheltered Total Homeless Individuals, 2009","Unsheltered Homeless Individuals, 2009","Overall Homeless People in Families, 2009","Sheltered ES Homeless People in Families, 2009","Sheltered TH Homeless People in Families, 2009","Sheltered Total Homeless People in Families, 2009","Unsheltered Homeless People in Families, 2009","Overall Homeless Family Households, 2009","Sheltered ES Homeless Family Households, 2009","Sheltered TH Homeless Family Households, 2009","Sheltered Total Homeless Family Households, 2009","Unsheltered Homeless Family Households, 2009","Overall Chronically Homeless Individuals, 2009","Sheltered ES Chronically Homeless Individuals, 2009","Sheltered Total Chronically Homeless Individuals, 2009","Unsheltered Chronically Homeless Individuals, 2009"
NC-500,489,291,130,421,68,395,265,62,327,68,94,26,68,94,0,33,8,25,33,0,119,116,116,3
NC-501,518,179,247,426,92,432,157,183,340,92,86,22,64,86,0,35,11,24,35,0,180,147,147,33
NC-502,536,275,227,502,34,437,221,182,403,34,99,54,45,99,0,34,18,16,34,0,142,108,108,34
NC-503,2821,"1,359",650,"2,009",812,"1,860",846,380,"1,226",634,961,513,270,783,178,328,171,91,262,66,180,140,140,40
NC-504,1078,478,470,948,130,746,363,265,628,118,332,115,205,320,12,99,33,63,96,3,82,56,56,26
NC-505,2594,"1,128",916,"2,044",550,"1,930",802,581,"1,383",547,664,326,335,661,3,176,104,71,175,1,374,343,343,31
NC-506,630,205,263,468,162,343,140,109,249,94,287,65,154,219,68,107,20,59,79,28,118,73,73,45
NC-507,1152,508,397,905,247,881,334,300,634,247,271,174,97,271,0,79,52,27,79,0,54,54,54,0
NC-509,580,194,30,224,356,427,134,12,146,281,153,60,18,78,75,51,21,6,27,24,24,10,10,14
NC-511,965,90,173,263,702,411,68,8,76,335,554,22,165,187,367,145,7,45,52,93,45,19,19,26
NC-513,156,81,70,151,5,110,81,24,105,5,46,0,46,46,0,19,0,19,19,0,42,37,37,5
NC-516,1399,85,27,112,"1,287","1,187",39,20,59,"1,128",212,46,7,53,159,78,16,3,19,59,130,4,4,126
ND-500,773,487,278,765,8,548,329,211,540,8,225,158,67,225,0,72,49,23,72,0,70,66,66,4
NE-500,1483,440,491,931,552,662,210,211,421,241,821,230,280,510,311,252,62,94,156,96,99,54,54,45
NE-501,1262,783,418,"1,201",61,958,669,228,897,61,304,114,190,304,0,98,38,60,98,0,322,297,297,25
NE-502,973,370,577,947,26,452,177,252,429,23,521,193,325,518,3,180,55,124,179,1,74,62,62,12
NH-500,769,531,188,719,50,397,276,79,355,42,372,255,109,364,8,122,80,39,119,3,202,177,177,25
NH-501,508,147,190,337,171,316,96,56,152,164,192,51,134,185,7,73,17,54,71,2,59,52,52,7
NH-502,368,214,136,350,18,178,107,56,163,15,190,107,80,187,3,64,34,29,63,1,69,56,56,13
NJ-500,461,339,0,339,122,315,218,0,218,97,146,121,0,121,25,52,42,0,42,10,66,35,35,31
NJ-501,1433,340,"1,014","1,354",79,572,192,321,513,59,861,148,693,841,20,313,59,246,305,8,75,48,48,27
NJ-502,979,699,250,949,30,382,297,61,358,24,597,402,189,591,6,182,124,55,179,3,82,75,75,7
NJ-503,1116,775,147,922,194,603,362,110,472,131,513,413,37,450,63,176,141,13,154,22,93,72,72,21
NJ-504,1730,"1,132",407,"1,539",191,764,518,97,615,149,966,614,310,924,42,307,194,99,293,14,125,92,92,33
NJ-506,1779,"1,374",276,"1,650",129,563,378,89,467,96,"1,216",996,187,"1,183",33,448,369,68,437,11,72,45,45,27
NJ-507,796,311,272,583,213,432,178,107,285,147,364,133,165,298,66,133,49,58,107,26,45,25,25,20
NJ-508,676,400,238,638,38,300,224,53,277,23,376,176,185,361,15,134,59,70,129,5,72,61,61,11
NJ-509,302,177,80,257,45,151,79,29,108,43,151,98,51,149,2,55,36,18,54,1,46,27,27,19
NJ-510,453,358,48,406,47,253,196,17,213,40,200,162,31,193,7,67,51,13,64,3,46,40,40,6
NJ-511,306,184,23,207,99,179,97,15,112,67,127,87,8,95,32,41,28,2,30,11,38,18,18,20
NJ-512,148,121,25,146,2,85,77,6,83,2,63,44,19,63,0,22,15,7,22,0,20,18,18,2
NJ-513,298,107,176,283,15,177,63,102,165,12,121,44,74,118,3,32,15,16,31,1,7,7,7,0
NJ-514,1062,676,344,"1,020",42,515,391,95,486,29,547,285,249,534,13,197,98,93,191,6,86,86,86,0
NJ-515,1116,437,640,"1,077",39,490,265,194,459,31,626,172,446,618,8,221,66,153,219,2,41,37,37,4
NJ-516,514,172,329,501,13,181,96,78,174,7,333,76,251,327,6,118,30,87,117,1,20,18,18,2
NM-500,2002,481,590,"1,071",931,"1,454",379,238,617,837,548,102,352,454,94,180,33,108,141,39,403,152,152,251
NM-501,1473,504,533,"1,037",436,889,258,227,485,404,584,246,306,552,32,124,35,76,111,13,376,189,189,187
NV-500,9949,825,"6,179","7,004","2,945","8,566",730,"4,904","5,634","2,932","1,383",95,"1,275","1,370",13,342,31,307,338,4,"1,090",117,117,973
NV-501,700,432,213,645,55,522,302,169,471,51,178,130,44,174,4,53,34,18,52,1,104,75,75,29
NV-502,440,54,89,143,297,306,14,24,38,268,134,40,65,105,29,43,13,21,34,9,103,4,4,99
NY-500,663,496,167,663,0,340,265,75,340,0,323,231,92,323,0,104,70,34,104,0,86,86,86,0
NY-501,184,32,146,178,6,145,14,128,142,3,39,18,18,36,3,14,6,7,13,1,2,2,2,0
NY-503,639,489,115,604,35,429,309,85,394,35,210,180,30,210,0,68,57,11,68,0,66,38,38,28
NY-504,74,23,34,57,17,47,13,17,30,17,27,10,17,27,0,10,4,6,10,0,0,0,0,0
NY-505,874,445,397,842,32,700,329,343,672,28,174,116,54,170,4,56,34,20,54,2,90,76,76,14
NY-506,24,20,0,20,4,15,11,0,11,4,9,9,0,9,0,3,3,0,3,0,5,2,2,3
NY-507,258,182,14,196,62,178,122,0,122,56,80,60,14,74,6,31,24,4,28,3,32,13,13,19
NY-508,1069,480,460,940,129,801,359,316,675,126,268,121,144,265,3,99,39,59,98,1,296,172,172,124
NY-510,75,33,32,65,10,45,25,10,35,10,30,8,22,30,0,9,3,6,9,0,19,9,9,10
NY-511,213,92,110,202,11,195,84,100,184,11,18,8,10,18,0,7,2,5,7,0,64,60,60,4
NY-512,298,232,28,260,38,75,33,4,37,38,223,199,24,223,0,82,72,10,82,0,27,13,13,14
NY-513,81,70,11,81,0,43,32,11,43,0,38,38,0,38,0,15,15,0,15,0,5,5,5,0
NY-514,128,34,89,123,5,85,19,61,80,5,43,15,28,43,0,21,7,14,21,0,16,16,16,0
NY-516,136,107,17,124,12,107,78,17,95,12,29,29,0,29,0,13,13,0,13,0,11,11,11,0
NY-518,343,100,226,326,17,251,66,168,234,17,92,34,58,92,0,32,9,23,32,0,19,14,14,5
NY-519,267,206,54,260,7,145,84,54,138,7,122,122,0,122,0,38,38,0,38,0,8,8,8,0
NY-520,14,5,0,5,9,8,5,0,5,3,6,0,0,0,6,3,0,0,0,3,4,1,1,3
NY-522,276,126,149,275,1,244,96,147,243,1,32,30,2,32,0,11,10,1,11,0,14,14,14,0
NY-523,195,122,42,164,31,145,82,35,117,28,50,40,7,47,3,19,16,2,18,1,34,11,11,23
NY-600,49343,"39,727","7,288","47,015","2,328","18,188","10,476","5,384","15,860","2,328","31,155","29,251","1,904","31,155",0,"9,633","8,957",676,"9,633",0,"3,103","1,543","1,543","1,560"
NY-601,474,226,178,404,70,284,113,101,214,70,190,113,77,190,0,73,39,34,73,0,47,36,36,11
NY-602,450,301,44,345,105,274,169,0,169,105,176,132,44,176,0,61,46,15,61,0,73,29,29,44
NY-603,2639,"1,738",592,"2,330",309,817,343,179,522,295,"1,822","1,395",413,"1,808",14,542,390,145,535,7,54,40,40,14
NY-604,1531,"1,060",305,"1,365",166,555,321,68,389,166,976,739,237,976,0,331,263,68,331,0,121,52,52,69
NY-606,139,43,34,77,62,102,20,20,40,62,37,23,14,37,0,13,9,4,13,0,25,2,2,23
NY-607,369,366,0,366,3,124,121,0,121,3,245,245,0,245,0,76,76,0,76,0,14,12,12,2
NY-608,311,139,28,167,144,215,65,28,93,122,96,74,0,74,22,38,31,0,31,7,45,7,7,38
OH-500,1140,686,411,"1,097",43,781,517,221,738,43,359,169,190,359,0,114,55,59,114,0,268,262,262,6
OH-501,945,409,318,727,218,597,290,160,450,147,348,119,158,277,71,120,47,55,102,18,312,247,247,65
OH-502,2236,"1,218",887,"2,105",131,"1,743",966,651,"1,617",126,493,252,236,488,5,162,81,80,161,1,584,545,545,39
