CoC,Count,"Sheltered ES Homeless, 2011","Sheltered TH Homeless, 2011","Sheltered SH Homeless, 2011","Sheltered Total Homeless, 2011","Unsheltered Homeless, 2011","Overall Homeless Individuals, 2011","Overall Homeless Individuals - Under 18, 2011","Sheltered ES Homeless Individuals, 2011","Sheltered ES Homeless Individuals - Under 18, 2011","Sheltered TH Homeless Individuals, 2011","Sheltered TH Homeless Individuals - Under 18, 2011","Sheltered SH Homeless Individuals, 2011","Sheltered Total Homeless Individuals, 2011","Sheltered Total Homeless Individuals - Under 18, 2011","Unsheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals - Under 18, 2011","Overall Homeless People in Families, 2011","Sheltered ES Homeless People in Families, 2011","Sheltered TH Homeless People in Families, 2011","Sheltered Total Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Overall Homeless Family Households, 2011","Sheltered ES Homeless Family Households, 2011","Sheltered TH Homeless Family Households, 2011","Sheltered Total Homeless Family Households, 2011","Unsheltered Homeless Family Households, 2011","Overall Chronically Homeless, 2011","Sheltered ES Chronically Homeless, 2011","Sheltered SH Chronically Homeless, 2011","Sheltered Total Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Overall Chronically Homeless Individuals, 2011","Sheltered ES Chronically Homeless Individuals, 2011","Sheltered SH Chronically Homeless Individuals, 2011","Sheltered Total Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Overall Chronically Homeless People in Families, 2011","Sheltered ES Chronically Homeless People in Families, 2011","Sheltered Total Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Overall Homeless Veterans, 2011","Sheltered Total Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
CA-525,170,37,96,0,133,37,107,2,25,2,51,0,0,76,2,31,0,63,12,45,57,6,22,3,16,19,3,19,12,0,12,7,16,9,0,9,7,3,3,3,0,2,1,1
CA-526,406,81,56,0,137,269,189,3,21,0,7,0,0,28,0,161,3,217,60,49,109,108,65,17,13,30,35,102,22,0,22,80,85,13,0,13,72,17,9,9,8,25,7,18
CA-528,448,25,2,0,27,421,316,0,11,0,0,0,0,11,0,305,0,132,14,2,16,116,38,7,1,8,30,384,0,0,0,384,126,0,0,0,126,258,0,0,258,10,0,10
CA-600,34622,"9,855","6,982",45,"16,882","17,740","25,404",366,"4,795",53,"4,788",34,45,"9,628",87,"15,776",279,"9,218","5,060","2,194","7,254","1,964","3,035","1,689",794,"2,483",552,"9,640","3,083",0,"3,083","6,557","7,668","2,357",0,"2,357","5,311","1,972",726,726,"1,246","6,281","3,243","3,038"
CA-601,9436,936,"2,990",54,"3,980","5,456","7,763",200,728,12,"1,721",40,54,"2,503",52,"5,260",148,"1,673",208,"1,269","1,477",196,564,70,410,480,84,"2,348",139,35,174,"2,174","2,278",131,35,166,"2,112",70,8,8,62,"1,649",756,893
CA-602,6939,941,"1,726",0,"2,667","4,272","5,231",54,462,21,519,20,0,981,41,"4,250",13,"1,708",479,"1,207","1,686",22,574,174,393,567,7,"1,670",81,0,81,"1,589","1,651",66,0,66,"1,585",19,15,15,4,856,96,760
CA-603,1698,401,429,0,830,868,"1,377",2,279,0,273,1,0,552,1,825,1,321,122,156,278,43,112,37,61,98,14,558,172,0,172,386,511,141,0,141,370,47,31,31,16,158,70,88
CA-604,1439,372,234,0,606,833,"1,236",1,240,0,207,0,0,447,0,789,1,203,132,27,159,44,69,44,8,52,17,441,48,0,48,393,372,40,0,40,332,69,8,8,61,173,79,94
CA-606,3164,379,561,21,961,"2,203","2,596",0,264,0,375,0,21,660,0,"1,936",0,568,115,186,301,267,181,38,57,95,86,"1,101",96,21,117,984,"1,074",91,21,112,962,27,5,5,22,658,349,309
CA-607,1216,331,122,0,453,763,"1,022",3,236,0,62,0,0,298,0,724,3,194,95,60,155,39,75,37,28,65,10,425,105,0,105,320,421,101,0,101,320,4,4,4,0,89,13,76
CA-608,6203,572,541,0,"1,113","5,090","5,655",125,404,16,192,0,0,596,16,"5,059",109,548,168,349,517,31,220,78,132,210,10,"2,530",79,0,79,"2,451","2,515",70,0,70,"2,445",15,9,9,6,890,76,814
CA-609,2825,653,480,0,"1,133","1,692","1,916",3,293,0,257,0,0,550,0,"1,366",3,909,360,223,583,326,189,60,40,100,89,240,60,0,60,180,169,47,0,47,122,71,13,13,58,246,80,166
CA-611,1810,514,307,9,830,980,"1,459",14,487,10,96,0,9,592,10,867,4,351,27,211,238,113,109,10,64,74,35,679,141,9,150,529,503,74,9,83,420,176,67,67,109,140,31,109
CA-612,412,207,84,0,291,121,297,0,176,0,0,0,0,176,0,121,0,115,31,84,115,0,42,14,28,42,0,107,94,0,94,13,102,89,0,89,13,5,5,5,0,39,20,19
CA-613,508,131,63,0,194,314,398,30,84,11,0,0,0,84,11,314,19,110,47,63,110,0,39,19,20,39,0,16,0,0,0,16,16,0,0,0,16,0,0,0,0,6,6,0
CA-614,2129,159,69,0,228,"1,901","1,724",0,74,0,36,0,0,110,0,"1,614",0,405,85,33,118,287,162,38,16,54,108,556,68,0,68,488,339,38,0,38,301,217,30,30,187,271,60,211
CO-500,9283,631,384,0,"1,015","8,268","1,615",304,237,0,58,0,0,295,0,"1,320",304,"7,668",394,326,720,"6,948","1,918",99,82,181,"1,737",729,31,0,31,698,729,31,0,31,698,0,0,0,0,572,77,495
CO-503,4809,"1,911","2,341",25,"4,277",532,"2,200",143,"1,227",131,534,10,25,"1,786",141,414,2,"2,609",684,"1,807","2,491",118,924,293,590,883,41,588,397,25,422,166,393,236,25,261,132,195,161,161,34,"1,322","1,188",134
CO-504,1024,437,417,0,854,170,731,1,338,1,232,0,0,570,1,161,0,293,99,185,284,9,93,31,59,90,3,178,96,0,96,82,166,84,0,84,82,12,12,12,0,180,116,64
CT-503,1005,577,267,0,844,161,737,2,446,2,142,0,0,588,2,149,0,268,131,125,256,12,90,42,43,85,5,277,204,0,204,73,273,200,0,200,73,4,4,4,0,88,74,14
CT-505,3451,"1,781","1,136",0,"2,917",534,"2,334",0,"1,176",0,653,0,0,"1,829",0,505,0,"1,117",605,483,"1,088",29,392,217,163,380,12,822,565,0,565,257,770,513,0,513,257,52,52,52,0,355,322,33
DC-500,6546,"3,641","2,600",0,"6,241",305,"3,858",26,"2,636",22,917,4,0,"3,553",26,305,0,"2,688","1,005","1,683","2,688",0,858,326,532,858,0,"2,509","2,234",0,"2,234",275,"2,093","1,818",0,"1,818",275,416,416,416,0,515,490,25
DE-500,1035,549,454,10,"1,013",22,663,0,375,0,256,0,10,641,0,22,0,372,174,198,372,0,116,54,62,116,0,70,53,6,59,11,70,53,6,59,11,0,0,0,0,55,53,2
FL-500,1152,425,470,0,895,257,922,39,360,22,328,16,0,688,38,234,1,230,65,142,207,23,105,29,68,97,8,222,72,0,72,150,111,36,0,36,75,111,36,36,75,64,23,41
FL-501,7336,308,558,23,889,"6,447","4,468",185,223,4,331,4,23,577,8,"3,891",177,"2,868",85,227,312,"2,556",812,34,68,102,710,679,33,15,48,631,679,33,15,48,631,0,0,0,0,792,97,695
FL-502,3890,"1,150",681,39,"1,870","2,020","2,689",103,959,19,471,19,39,"1,469",38,"1,220",65,"1,201",191,210,401,800,373,84,90,174,199,466,124,39,163,303,458,124,39,163,295,8,0,0,8,431,313,118
FL-503,1100,240,258,0,498,602,933,0,186,0,145,0,0,331,0,602,0,167,54,113,167,0,53,15,38,53,0,32,11,0,11,21,32,11,0,11,21,0,0,0,0,78,46,32
FL-504,2210,111,424,0,535,"1,675","2,015",0,101,0,239,0,0,340,0,"1,675",0,195,10,185,195,0,61,4,57,61,0,202,3,0,3,199,202,3,0,3,199,0,0,0,0,153,59,94
FL-505,2764,274,201,0,475,"2,289",827,33,214,24,151,8,0,365,32,462,1,"1,937",60,50,110,"1,827",546,21,18,39,507,367,183,0,183,184,333,176,0,176,157,34,7,7,27,246,124,122
FL-506,787,366,362,0,728,59,609,10,284,10,266,0,0,550,10,59,0,178,82,96,178,0,68,31,37,68,0,112,94,0,94,18,110,92,0,92,18,2,2,2,0,63,60,3
FL-507,4515,890,"1,215",22,"2,127","2,388","3,135",2,601,0,616,2,22,"1,239",2,"1,896",0,"1,380",289,599,888,492,437,98,175,273,164,"2,363",548,19,567,"1,796","2,284",518,19,537,"1,747",79,30,30,49,690,190,500
FL-508,1179,270,169,0,439,740,969,27,206,19,119,6,0,325,25,644,2,210,64,50,114,96,73,21,19,40,33,363,76,0,76,287,350,70,0,70,280,13,6,6,7,331,197,134
FL-509,1683,96,98,0,194,"1,489",609,12,27,8,18,0,0,45,8,564,4,"1,074",69,80,149,925,398,21,30,51,347,171,43,0,43,128,117,10,0,10,107,54,33,33,21,95,8,87
FL-510,3025,820,773,0,"1,593","1,432","2,377",47,576,0,369,42,0,945,42,"1,432",5,648,244,404,648,0,220,81,139,220,0,"1,104",756,0,756,348,"1,104",756,0,756,348,0,0,0,0,345,186,159
FL-511,733,105,350,0,455,278,590,21,75,0,264,21,0,339,21,251,0,143,30,86,116,27,43,6,28,34,9,200,71,0,71,129,193,70,0,70,123,7,1,1,6,158,52,106
FL-512,1391,80,110,0,190,"1,201","1,004",0,52,0,12,0,0,64,0,940,0,387,28,98,126,261,99,9,32,41,58,75,0,0,0,75,75,0,0,0,75,0,0,0,0,41,6,35
FL-513,1907,316,374,0,690,"1,217","1,298",46,165,21,139,0,0,304,21,994,25,609,151,235,386,223,281,75,109,184,97,136,71,0,71,65,136,71,0,71,65,0,0,0,0,355,126,229
FL-514,1032,156,276,0,432,600,961,47,138,25,229,22,0,367,47,594,0,71,18,47,65,6,22,6,13,19,3,122,37,0,37,85,122,37,0,37,85,0,0,0,0,144,23,121
FL-515,411,156,140,0,296,115,320,0,127,0,98,0,0,225,0,95,0,91,29,42,71,20,39,13,18,31,8,68,46,0,46,22,61,39,0,39,22,7,7,7,0,46,24,22
FL-517,1319,0,114,0,114,"1,205",559,22,0,0,114,22,0,114,22,445,0,760,0,0,0,760,376,0,0,0,376,412,0,0,0,412,206,0,0,0,206,206,0,0,206,10,0,10
FL-518,1179,33,50,0,83,"1,096",792,11,7,6,45,0,0,52,6,740,5,387,26,5,31,356,155,11,2,13,142,236,7,0,7,229,184,4,0,4,180,52,3,3,49,244,27,217
