CoC,Count,"Sheltered ES Homeless, 2012","Sheltered TH Homeless, 2012","Sheltered SH Homeless, 2012","Sheltered Total Homeless, 2012","Unsheltered Homeless, 2012","Overall Homeless Individuals, 2012","Overall Homeless Individuals - Under 18, 2012","Sheltered ES Homeless Individuals, 2012","Sheltered ES Homeless Individuals - Under 18, 2012","Sheltered TH Homeless Individuals, 2012","Sheltered TH Homeless Individuals - Under 18, 2012","Sheltered SH Homeless Individuals, 2012","Sheltered Total Homeless Individuals, 2012","Sheltered Total Homeless Individuals - Under 18, 2012","Unsheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals - Under 18, 2012","Overall Homeless People in Families, 2012","Sheltered ES Homeless People in Families, 2012","Sheltered TH Homeless People in Families, 2012","Sheltered Total Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Overall Homeless Family Households, 2012","Sheltered ES Homeless Family Households, 2012","Sheltered TH Homeless Family Households, 2012","Sheltered Total Homeless Family Households, 2012","Unsheltered Homeless Family Households, 2012","Overall Chronically Homeless, 2012","Sheltered ES Chronically Homeless, 2012","Sheltered SH Chronically Homeless, 2012","Sheltered Total Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Overall Chronically Homeless Individuals, 2012","Sheltered ES Chronically Homeless Individuals, 2012","Sheltered SH Chronically Homeless Individuals, 2012","Sheltered Total Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Overall Chronically Homeless People in Families, 2012","Sheltered ES Chronically Homeless People in Families, 2012","Sheltered Total Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Overall Homeless Veterans, 2012","Sheltered Total Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
NV-502,305,83,100,0,183,122,163,0,34,0,22,0,0,56,0,107,0,142,49,78,127,15,52,19,26,45,7,61,17,0,17,44,58,15,0,15,43,3,2,2,1,4,4,0
NY-500,699,471,217,11,699,0,377,18,279,6,87,12,11,377,18,0,0,322,192,130,322,0,115,64,51,115,0,89,78,11,89,0,77,66,11,77,0,12,12,12,0,53,53,0
NY-501,305,96,190,0,286,19,220,0,53,0,150,0,0,203,0,17,0,85,43,40,83,2,25,11,13,24,1,38,26,0,26,12,34,22,0,22,12,4,4,4,0,23,10,13
NY-503,590,430,132,0,562,28,372,12,242,11,102,1,0,344,12,28,0,218,188,30,218,0,98,83,15,98,0,108,80,0,80,28,95,67,0,67,28,13,13,13,0,112,107,5
NY-504,38,24,13,0,37,1,11,0,7,0,3,0,0,10,0,1,0,27,17,10,27,0,8,5,3,8,0,6,5,0,5,1,6,5,0,5,1,0,0,0,0,3,3,0
NY-505,882,480,386,0,866,16,653,23,359,8,278,15,0,637,23,16,0,229,121,108,229,0,85,42,43,85,0,119,105,0,105,14,104,92,0,92,12,15,13,13,2,69,69,0
NY-506,72,64,0,0,64,8,35,0,27,0,0,0,0,27,0,8,0,37,37,0,37,0,10,10,0,10,0,3,2,0,2,1,3,2,0,2,1,0,0,0,0,0,0,0
NY-507,287,237,32,0,269,18,190,1,156,1,16,0,0,172,1,18,0,97,81,16,97,0,43,36,7,43,0,59,50,0,50,9,49,40,0,40,9,10,10,10,0,14,12,2
NY-508,1183,545,508,14,"1,067",116,770,18,373,8,267,10,14,654,18,116,0,413,172,241,413,0,136,52,84,136,0,133,75,12,87,46,131,73,12,85,46,2,2,2,0,67,63,4
NY-510,68,19,34,0,53,15,39,0,11,0,13,0,0,24,0,15,0,29,8,21,29,0,11,3,8,11,0,13,2,0,2,11,13,2,0,2,11,0,0,0,0,1,0,1
NY-511,292,170,111,0,281,11,283,12,161,6,111,6,0,272,12,11,0,9,9,0,9,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
NY-512,225,140,36,0,176,49,83,0,30,0,4,0,0,34,0,49,0,142,110,32,142,0,54,39,15,54,0,54,26,0,26,28,36,8,0,8,28,18,18,18,0,8,5,3
NY-513,121,97,24,0,121,0,84,0,60,0,24,0,0,84,0,0,0,37,37,0,37,0,13,13,0,13,0,5,5,0,5,0,5,5,0,5,0,0,0,0,0,39,39,0
NY-514,33,14,19,0,33,0,27,4,14,4,13,0,0,27,4,0,0,6,0,6,6,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY-516,236,167,52,0,219,17,149,0,85,0,52,0,0,137,0,12,0,87,82,0,82,5,31,29,0,29,2,36,36,0,36,0,31,31,0,31,0,5,5,5,0,14,6,8
NY-518,176,107,47,0,154,22,85,5,62,3,15,2,0,77,5,8,0,91,45,32,77,14,36,20,13,33,3,19,15,0,15,4,19,15,0,15,4,0,0,0,0,8,6,2
NY-519,132,126,6,0,132,0,60,0,60,0,0,0,0,60,0,0,0,72,66,6,72,0,23,21,2,23,0,5,5,0,5,0,0,0,0,0,0,5,5,5,0,4,4,0
NY-520,14,5,0,0,5,9,14,5,5,0,0,0,0,5,0,9,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,3,0,0,0,3,4,0,0,4,0,0,0
NY-522,95,40,41,0,81,14,82,0,32,0,41,0,0,73,0,9,0,13,8,0,8,5,6,4,0,4,2,16,10,0,10,6,11,10,0,10,1,5,0,0,5,34,33,1
NY-523,299,209,53,0,262,37,174,3,116,2,34,0,0,150,2,24,1,125,93,19,112,13,44,32,7,39,5,51,37,0,37,14,38,24,0,24,14,13,13,13,0,38,34,4
NY-600,56672,"44,879","8,394",137,"53,410","3,262","23,543",26,"14,500",5,"5,644",21,137,"20,281",26,"3,262",0,"33,129","30,379","2,750","33,129",0,"10,045","9,098",947,"10,045",0,"3,277","1,052",137,"1,189","2,088","2,988",763,137,900,"2,088",289,289,289,0,"3,790","3,266",524
NY-601,453,229,180,0,409,44,248,6,115,6,92,0,0,207,6,41,0,205,114,88,202,3,82,45,36,81,1,44,12,0,12,32,42,11,0,11,31,2,1,1,1,15,13,2
NY-602,502,309,47,0,356,146,323,13,167,13,10,0,0,177,13,146,0,179,142,37,179,0,58,44,14,58,0,117,54,0,54,63,106,43,0,43,63,11,11,11,0,13,7,6
NY-603,3359,"2,605",619,0,"3,224",135,"1,082",20,697,19,250,1,0,947,20,135,0,"2,277","1,908",369,"2,277",0,697,591,106,697,0,312,291,0,291,21,152,131,0,131,21,160,160,160,0,407,401,6
NY-604,1741,612,"1,091",0,"1,703",38,726,13,498,0,190,13,0,688,13,38,0,"1,015",114,901,"1,015",0,359,48,311,359,0,309,275,0,275,34,309,275,0,275,34,0,0,0,0,223,218,5
NY-606,107,63,41,0,104,3,77,0,45,0,29,0,0,74,0,3,0,30,18,12,30,0,11,7,4,11,0,4,1,0,1,3,4,1,0,1,3,0,0,0,0,6,6,0
NY-607,630,618,0,0,618,12,257,0,249,0,0,0,0,249,0,8,0,373,369,0,369,4,116,115,0,115,1,52,52,0,52,0,49,49,0,49,0,3,3,3,0,6,6,0
NY-608,355,262,29,0,291,64,169,19,78,8,29,11,0,107,19,62,0,186,184,0,184,2,58,57,0,57,1,21,7,0,7,14,19,7,0,7,12,2,0,0,2,9,4,5
OH-500,1654,749,859,0,"1,608",46,887,8,512,8,329,0,0,841,8,46,0,767,237,530,767,0,213,60,153,213,0,234,221,0,221,13,234,221,0,221,13,0,0,0,0,200,194,6
OH-501,977,438,391,11,840,137,650,3,324,3,185,0,11,520,3,130,0,327,114,206,320,7,108,40,65,105,3,138,88,11,99,39,136,86,11,97,39,2,2,2,0,71,49,22
OH-502,2191,939,"1,108",20,"2,067",124,"1,626",6,694,6,788,0,20,"1,502",6,124,0,565,245,320,565,0,187,87,100,187,0,375,277,19,296,79,375,277,19,296,79,0,0,0,0,334,312,22
OH-503,1434,"1,003",249,0,"1,252",182,"1,068",16,774,11,112,5,0,886,16,182,0,366,229,137,366,0,116,74,42,116,0,311,174,0,174,137,311,174,0,174,137,0,0,0,0,133,126,7
OH-504,224,127,86,1,214,10,86,5,48,5,27,0,1,76,5,10,0,138,79,59,138,0,45,25,20,45,0,54,47,0,47,7,26,19,0,19,7,28,28,28,0,12,9,3
OH-505,1081,540,450,24,"1,014",67,639,5,399,3,149,2,24,572,5,67,0,442,141,301,442,0,147,44,103,147,0,48,27,10,37,11,48,27,10,37,11,0,0,0,0,136,124,12
OH-506,813,326,311,10,647,166,510,19,188,14,153,5,10,351,19,159,0,303,138,158,296,7,95,41,51,92,3,208,103,10,113,95,205,100,10,110,95,3,3,3,0,91,33,58
OH-507,5121,"1,948","2,228",9,"4,185",936,"2,137",21,988,12,495,0,9,"1,492",12,645,9,"2,984",960,"1,733","2,693",291,951,309,550,859,92,530,321,3,324,206,380,191,3,194,186,150,130,130,20,225,159,66
OH-508,482,207,192,20,419,63,252,1,111,0,61,0,20,192,0,60,1,230,96,131,227,3,81,25,55,80,1,84,36,20,56,28,73,28,20,48,25,11,8,8,3,42,28,14
OK-500,204,85,62,0,147,57,108,5,44,4,27,0,0,71,4,37,1,96,41,35,76,20,36,18,12,30,6,24,17,0,17,7,20,13,0,13,7,4,4,4,0,7,4,3
OK-501,1021,626,201,49,876,145,804,17,466,12,144,5,49,659,17,145,0,217,160,57,217,0,62,45,17,62,0,88,61,23,84,4,86,59,23,82,4,2,2,2,0,173,154,19
OK-502,1303,630,312,0,942,361,"1,069",21,513,12,209,0,0,722,12,347,9,234,117,103,220,14,81,43,34,77,4,235,59,0,59,176,230,56,0,56,174,5,3,3,2,155,109,46
OK-503,571,95,49,0,144,427,285,29,22,0,28,0,0,50,0,235,29,286,73,21,94,192,80,33,10,43,37,32,0,0,0,32,16,0,0,0,16,16,0,0,16,22,3,19
OK-504,616,37,123,0,160,456,433,280,28,0,40,11,0,68,11,365,269,183,9,83,92,91,58,4,26,30,28,44,20,0,20,24,30,16,0,16,14,14,4,4,10,2,2,0
OK-505,342,216,61,0,277,65,217,15,139,8,45,0,0,184,8,33,7,125,77,16,93,32,45,31,5,36,9,92,82,0,82,10,50,50,0,50,0,42,32,32,10,14,14,0
OK-506,396,186,38,9,233,163,221,0,141,0,0,0,9,150,0,71,0,175,45,38,83,92,73,16,11,27,46,6,6,0,6,0,6,6,0,6,0,0,0,0,0,16,5,11
OK-507,579,223,41,0,264,315,317,66,138,59,31,0,0,169,59,148,7,262,85,10,95,167,84,26,4,30,54,48,19,0,19,29,43,14,0,14,29,5,5,5,0,15,8,7
OR-500,2057,392,259,0,651,"1,406","1,539",23,296,8,70,0,0,366,8,"1,173",15,518,96,189,285,233,157,29,59,88,69,628,79,0,79,549,586,79,0,79,507,42,0,0,42,264,78,186
OR-501,4423,892,"1,817",0,"2,709","1,714","2,918",16,562,14,754,1,0,"1,316",15,"1,602",1,"1,505",330,"1,063","1,393",112,620,110,455,565,55,"1,090",304,0,304,786,"1,025",252,0,252,773,65,52,52,13,380,162,218
OR-502,691,159,277,5,441,250,560,97,132,14,182,13,5,319,27,241,70,131,27,95,122,9,41,8,29,37,4,172,54,1,55,117,160,50,1,51,109,12,4,4,8,136,123,13
OR-503,808,107,169,0,276,532,460,48,85,4,66,9,0,151,13,309,35,348,22,103,125,223,111,7,31,38,73,131,14,0,14,117,81,11,0,11,70,50,3,3,47,82,20,62
OR-505,6105,934,"1,097",4,"2,035","4,070","3,342",327,703,17,525,25,4,"1,232",42,"2,110",285,"2,763",231,572,803,"1,960",922,88,220,308,614,949,267,4,271,678,665,232,4,236,429,284,35,35,249,314,134,180
OR-506,751,87,212,10,309,442,399,14,12,9,67,0,10,89,9,310,5,352,75,145,220,132,112,22,51,73,39,160,2,10,12,148,156,2,10,12,144,4,0,0,4,103,39,64
OR-507,993,29,95,0,124,869,570,6,4,0,15,0,0,19,0,551,6,423,25,80,105,318,147,9,28,37,110,172,19,0,19,153,109,13,0,13,96,63,6,6,57,77,2,75
PA-500,5780,"3,324","1,890",66,"5,280",500,"2,976",31,"1,857",31,553,0,66,"2,476",31,500,0,"2,804","1,467","1,337","2,804",0,923,504,419,923,0,"1,037",191,66,257,780,590,134,66,200,390,447,57,57,390,394,320,74
PA-501,386,178,136,14,328,58,235,0,118,0,47,0,14,179,0,56,0,151,60,89,149,2,58,23,34,57,1,65,23,14,37,28,63,21,14,35,28,2,2,2,0,45,41,4
PA-502,604,356,210,0,566,38,244,0,163,0,43,0,0,206,0,38,0,360,193,167,360,0,100,56,44,100,0,64,45,0,45,19,50,31,0,31,19,14,14,14,0,17,14,3
PA-503,178,61,112,0,173,5,94,3,45,3,44,0,0,89,3,5,0,84,16,68,84,0,32,6,26,32,0,5,3,0,3,2,5,3,0,3,2,0,0,0,0,22,22,0
PA-504,419,199,197,0,396,23,148,0,93,0,32,0,0,125,0,23,0,271,106,165,271,0,87,35,52,87,0,52,38,0,38,14,49,35,0,35,14,3,3,3,0,12,9,3
PA-505,691,244,415,8,667,24,476,0,207,0,237,0,8,452,0,24,0,215,37,178,215,0,70,12,58,70,0,69,62,0,62,7,69,62,0,62,7,0,0,0,0,304,300,4
PA-506,340,158,165,0,323,17,216,9,129,4,79,5,0,208,9,8,0,124,29,86,115,9,44,10,33,43,1,55,47,0,47,8,55,47,0,47,8,0,0,0,0,30,28,2
PA-508,260,59,175,4,238,22,92,0,32,0,34,0,4,70,0,22,0,168,27,141,168,0,59,7,52,59,0,31,12,4,16,15,29,10,4,14,15,2,2,2,0,33,31,2
PA-509,1752,707,914,0,"1,621",131,664,12,298,10,248,2,0,546,12,118,0,"1,088",409,666,"1,075",13,362,132,227,359,3,121,91,0,91,30,105,75,0,75,30,16,16,16,0,88,70,18
PA-510,562,200,353,0,553,9,241,0,128,0,104,0,0,232,0,9,0,321,72,249,321,0,104,28,76,104,0,49,44,0,44,5,47,42,0,42,5,2,2,2,0,68,65,3
PA-511,458,122,285,0,407,51,142,1,54,1,39,0,0,93,1,49,0,316,68,246,314,2,107,21,85,106,1,30,3,0,3,27,30,3,0,3,27,0,0,0,0,14,5,9
PA-512,284,141,118,0,259,25,129,0,64,0,47,0,0,111,0,18,0,155,77,71,148,7,50,26,21,47,3,51,46,0,46,5,31,28,0,28,3,20,18,18,2,15,13,2
PA-600,1376,430,822,68,"1,320",56,816,0,323,0,369,0,68,760,0,56,0,560,107,453,560,0,197,34,163,197,0,271,171,68,239,32,263,163,68,231,32,8,8,8,0,214,206,8
PA-601,1097,499,490,42,"1,031",66,566,1,292,0,195,0,42,529,0,37,1,531,207,295,502,29,176,69,97,166,10,140,102,31,133,7,118,80,31,111,7,22,22,22,0,180,178,2
PA-603,110,28,77,0,105,5,65,0,11,0,51,0,0,62,0,3,0,45,17,26,43,2,15,5,9,14,1,8,5,0,5,3,8,5,0,5,3,0,0,0,0,2,2,0
PA-605,439,240,153,0,393,46,191,0,136,0,42,0,0,178,0,13,0,248,104,111,215,33,92,29,48,77,15,58,55,0,55,3,52,49,0,49,3,6,6,6,0,18,17,1
PR-502,1685,200,583,22,805,880,"1,348",0,164,0,417,0,22,603,0,745,0,337,36,166,202,135,160,13,81,94,66,"1,567",96,22,118,"1,449",752,48,22,70,682,815,48,48,767,80,22,58
PR-503,1527,157,343,41,541,986,"1,146",1,122,0,178,0,41,341,0,805,1,381,35,165,200,181,137,16,37,53,84,"1,684",119,14,133,"1,551",845,115,14,129,716,839,4,4,835,36,7,29
RI-500,1277,805,426,18,"1,249",28,788,4,578,4,164,0,18,760,4,28,0,489,227,262,489,0,182,91,91,182,0,154,140,14,154,0,148,134,14,148,0,6,6,6,0,96,96,0
SC-500,483,155,116,0,271,212,416,0,119,0,89,0,0,208,0,208,0,67,36,27,63,4,26,12,13,25,1,58,15,0,15,43,58,15,0,15,43,0,0,0,0,124,98,26
SC-501,1324,520,607,12,"1,139",185,786,0,367,0,222,0,12,601,0,185,0,538,153,385,538,0,194,62,132,194,0,57,44,12,56,1,57,44,12,56,1,0,0,0,0,115,91,24
SC-502,1648,559,387,0,946,702,"1,306",10,453,0,234,0,0,687,0,619,10,342,106,153,259,83,126,40,58,98,28,174,31,0,31,143,152,31,0,31,121,22,0,0,22,226,111,115
SC-503,1460,226,194,0,420,"1,040",819,3,175,0,118,3,0,293,3,526,0,641,51,76,127,514,205,23,31,54,151,239,12,0,12,227,121,11,0,11,110,118,1,1,117,78,20,58
SD-500,859,514,281,0,795,64,512,27,310,27,155,0,0,465,27,47,0,347,204,126,330,17,119,71,44,115,4,138,125,0,125,13,113,100,0,100,13,25,25,25,0,124,114,10
TN-500,548,291,83,0,374,174,364,0,239,0,17,0,0,256,0,108,0,184,52,66,118,66,61,16,23,39,22,70,55,0,55,15,70,55,0,55,15,0,0,0,0,60,45,15
TN-501,2076,487,"1,263",0,"1,750",326,"1,386",0,363,0,701,0,0,"1,064",0,322,0,690,124,562,686,4,214,37,176,213,1,265,76,0,76,189,255,66,0,66,189,10,10,10,0,411,384,27
TN-502,854,382,339,0,721,133,772,1,349,1,296,0,0,645,1,127,0,82,33,43,76,6,34,16,16,32,2,174,132,0,132,42,174,132,0,132,42,0,0,0,0,82,62,20
TN-503,245,107,125,0,232,13,190,0,76,0,104,0,0,180,0,10,0,55,31,21,52,3,21,12,8,20,1,29,27,0,27,2,29,27,0,27,2,0,0,0,0,41,39,2
TN-504,1934,844,715,12,"1,571",363,"1,690",12,740,9,575,0,12,"1,327",9,363,3,244,104,140,244,0,81,32,49,81,0,"1,055",685,10,695,360,"1,013",643,10,653,360,42,42,42,0,393,285,108
TN-506,658,109,50,0,159,499,480,31,89,0,31,0,0,120,0,360,31,178,20,19,39,139,63,7,6,13,50,39,2,0,2,37,34,2,0,2,32,5,0,0,5,24,6,18
TN-507,1692,135,87,8,230,"1,462","1,071",0,69,0,48,0,8,125,0,946,0,621,66,39,105,516,215,25,15,40,175,256,29,8,37,219,200,24,8,32,168,56,5,5,51,96,11,85
TN-509,424,225,98,0,323,101,303,14,169,14,62,0,0,231,14,72,0,121,56,36,92,29,39,22,11,33,6,56,31,0,31,25,49,24,0,24,25,7,7,7,0,122,116,6
TN-510,218,90,32,0,122,96,149,0,47,0,17,0,0,64,0,85,0,69,43,15,58,11,20,14,3,17,3,75,9,0,9,66,69,9,0,9,60,6,0,0,6,19,11,8
TN-512,777,193,103,0,296,481,500,0,63,0,92,0,0,155,0,345,0,277,130,11,141,136,85,42,3,45,40,247,62,0,62,185,221,53,0,53,168,26,9,9,17,37,14,23
TX-500,3670,"1,308",693,42,"2,043","1,627","1,289",182,242,99,215,63,42,499,162,790,20,"2,381","1,066",478,"1,544",837,"1,023",500,143,643,380,539,243,42,285,254,526,230,42,272,254,13,13,13,0,286,221,65
TX-503,2244,772,587,16,"1,375",869,"1,572",45,520,15,181,24,16,717,39,855,6,672,252,406,658,14,213,82,128,210,3,733,279,13,292,441,708,257,13,270,438,25,22,22,3,353,146,207
TX-600,3447,"1,840","1,377",25,"3,242",205,"1,598",19,962,9,419,6,25,"1,406",15,192,4,"1,849",878,958,"1,836",13,471,204,261,465,6,442,273,25,298,144,434,266,25,291,143,8,7,7,1,409,346,63
TX-601,2123,"1,166",800,21,"1,987",136,"1,269",13,875,13,239,0,21,"1,135",13,134,0,854,291,561,852,2,327,102,224,326,1,225,176,11,187,38,219,170,11,181,38,6,6,6,0,164,136,28
TX-603,1236,578,456,20,"1,054",182,742,5,388,5,152,0,20,560,5,182,0,494,190,304,494,0,147,56,91,147,0,115,62,13,75,40,105,52,13,65,40,10,10,10,0,112,65,47
TX-604,319,156,102,0,258,61,162,0,69,0,37,0,0,106,0,56,0,157,87,65,152,5,36,16,19,35,1,34,2,0,2,32,29,2,0,2,27,5,0,0,5,58,41,17
TX-607,12764,"2,444",898,0,"3,342","9,422","7,727",573,"1,503",71,449,28,0,"1,952",99,"5,775",474,"5,037",941,449,"1,390","3,647","1,650",371,171,542,"1,108","2,895",670,0,670,"2,225","2,528",473,0,473,"2,055",367,197,197,170,"1,728",461,"1,267"
TX-611,528,408,69,0,477,51,383,0,325,0,7,0,0,332,0,51,0,145,83,62,145,0,45,27,18,45,0,77,55,0,55,22,72,51,0,51,21,5,4,4,1,79,75,4
TX-624,226,169,0,0,169,57,182,14,131,14,0,0,0,131,14,51,0,44,38,0,38,6,14,12,0,12,2,118,88,0,88,30,110,80,0,80,30,8,8,8,0,6,6,0
TX-700,7187,"1,063","2,280",20,"3,363","3,824","5,621",270,627,1,"1,434",1,20,"2,081",2,"3,540",268,"1,566",436,846,"1,282",284,540,141,286,427,113,"1,422",158,20,178,"1,244","1,370",141,20,161,"1,209",52,17,17,35,"1,162",380,782
TX-701,308,151,40,0,191,117,198,0,107,0,4,0,0,111,0,87,0,110,44,36,80,30,45,20,18,38,7,50,50,0,50,0,14,14,0,14,0,36,36,36,0,7,7,0
UT-500,2463,"1,361",865,47,"2,273",190,"1,466",9,858,7,387,1,47,"1,292",8,174,1,997,503,478,981,16,292,149,138,287,5,317,207,46,253,64,243,155,46,201,42,74,52,52,22,259,244,15
UT-503,879,315,369,0,684,195,453,3,200,3,102,0,0,302,3,151,0,426,115,267,382,44,135,37,86,123,12,99,44,0,44,55,72,39,0,39,33,27,5,5,22,62,47,15
UT-504,185,49,46,0,95,90,130,9,33,9,14,0,0,47,9,83,0,55,16,32,48,7,18,7,9,16,2,27,2,0,2,25,16,0,0,0,16,11,2,2,9,9,6,3
VA-500,933,374,478,6,858,75,747,0,309,0,361,0,6,676,0,71,0,186,65,117,182,4,70,26,43,69,1,76,40,3,43,33,76,40,3,43,33,0,0,0,0,158,146,12
VA-501,652,414,153,0,567,85,456,0,307,0,66,0,0,373,0,83,0,196,107,87,194,2,68,37,30,67,1,83,49,0,49,34,83,49,0,49,34,0,0,0,0,77,59,18
VA-502,561,398,125,0,523,38,429,0,352,0,39,0,0,391,0,38,0,132,46,86,132,0,50,15,35,50,0,149,140,0,140,9,149,140,0,140,9,0,0,0,0,72,71,1
VA-503,440,170,179,0,349,91,244,3,103,3,50,0,0,153,3,91,0,196,67,129,196,0,66,22,44,66,0,62,40,0,40,22,52,30,0,30,22,10,10,10,0,65,45,20
VA-504,191,125,39,0,164,27,151,1,115,1,9,0,0,124,1,27,0,40,10,30,40,0,19,5,14,19,0,76,54,0,54,22,76,54,0,54,22,0,0,0,0,12,12,0
VA-505,681,427,171,22,620,61,486,0,308,0,95,0,22,425,0,61,0,195,119,76,195,0,63,39,24,63,0,170,128,6,134,36,157,115,6,121,36,13,13,13,0,223,212,11
VA-507,332,117,37,0,154,178,248,0,68,0,15,0,0,83,0,165,0,84,49,22,71,13,30,19,7,26,4,42,21,0,21,21,41,20,0,20,21,1,1,1,0,23,13,10
VA-508,214,53,92,0,145,69,147,0,44,0,46,0,0,90,0,57,0,67,9,46,55,12,26,3,19,22,4,43,21,0,21,22,23,12,0,12,11,20,9,9,11,22,11,11
VA-513,313,244,18,0,262,51,182,2,137,2,2,0,0,139,2,43,0,131,107,16,123,8,41,33,6,39,2,80,67,0,67,13,76,64,0,64,12,4,3,3,1,26,19,7
VA-514,193,116,30,0,146,47,109,0,67,0,0,0,0,67,0,42,0,84,49,30,79,5,28,14,12,26,2,63,25,0,25,38,47,14,0,14,33,16,11,11,5,15,10,5
VA-521,957,452,290,0,742,215,485,0,270,0,57,0,0,327,0,158,0,472,182,233,415,57,161,61,78,139,22,131,68,0,68,63,89,51,0,51,38,42,17,17,25,47,31,16
VA-600,451,179,138,3,320,131,263,0,118,0,11,0,3,132,0,131,0,188,61,127,188,0,60,19,41,60,0,175,79,3,82,93,175,79,3,82,93,0,0,0,0,24,16,8
VA-601,1534,685,663,8,"1,356",178,697,1,388,0,123,1,8,519,1,178,0,837,297,540,837,0,249,90,159,249,0,358,222,8,230,128,353,217,8,225,128,5,5,5,0,60,50,10
VA-602,168,75,57,0,132,36,70,0,31,0,10,0,0,41,0,29,0,98,44,47,91,7,30,16,12,28,2,18,7,0,7,11,18,7,0,7,11,0,0,0,0,8,5,3
VA-603,352,197,121,12,330,22,213,0,126,0,53,0,12,191,0,22,0,139,71,68,139,0,49,24,25,49,0,60,29,11,40,20,60,29,11,40,20,0,0,0,0,20,15,5
VA-604,452,144,183,0,327,125,157,0,68,0,0,0,0,68,0,89,0,295,76,183,259,36,84,21,53,74,10,60,21,0,21,39,56,17,0,17,39,4,4,4,0,29,12,17
VI-500,484,32,74,0,106,378,438,0,20,0,40,0,0,60,0,378,0,46,12,34,46,0,16,6,10,16,0,193,2,0,2,191,193,2,0,2,191,0,0,0,0,33,1,32
VT-500,776,352,272,6,630,146,438,8,174,0,153,3,6,333,3,105,5,338,178,119,297,41,111,55,42,97,14,127,102,6,108,19,103,88,6,94,9,24,14,14,10,80,71,9
VT-501,384,210,97,0,307,77,215,18,104,15,46,0,0,150,15,65,3,169,106,51,157,12,61,34,22,56,5,101,45,0,45,56,87,34,0,34,53,14,11,11,3,29,22,7
WA-500,8899,"2,682","3,554",45,"6,281","2,618","5,748",37,"2,070",6,"1,039",24,45,"3,154",30,"2,594",7,"3,151",612,"2,515","3,127",24,952,191,753,944,8,846,578,40,618,228,841,573,40,613,228,5,5,5,0,796,633,163
WA-501,5342,"1,623","2,075",0,"3,698","1,644","2,834",89,954,45,589,2,0,"1,543",47,"1,291",42,"2,508",669,"1,486","2,155",353,805,212,490,702,103,811,332,0,332,479,681,263,0,263,418,130,69,69,61,352,241,111
WA-502,1185,516,539,0,"1,055",130,662,20,373,13,197,6,0,570,19,92,1,523,143,342,485,38,170,46,112,158,12,82,59,0,59,23,80,59,0,59,21,2,0,0,2,99,89,10
WA-503,1997,597,"1,208",0,"1,805",192,687,0,356,0,158,0,0,514,0,173,0,"1,310",241,"1,050","1,291",19,374,64,306,370,4,219,111,0,111,108,213,107,0,107,106,6,4,4,2,91,61,30
WA-504,2061,378,966,0,"1,344",717,902,34,275,12,58,11,0,333,23,569,11,"1,159",103,908,"1,011",148,389,36,307,343,46,172,69,0,69,103,163,65,0,65,98,9,4,4,5,88,42,46
WA-508,1020,257,577,10,844,176,440,40,135,15,185,19,10,330,34,110,6,580,122,392,514,66,181,38,121,159,22,83,38,0,38,45,63,31,0,31,32,20,7,7,13,49,31,18
WI-500,3618,"1,712","1,520",7,"3,239",379,"1,556",0,877,0,444,0,7,"1,328",0,228,0,"2,062",835,"1,076","1,911",151,654,242,357,599,55,233,194,3,197,36,148,125,3,128,20,85,69,69,16,280,278,2
WI-501,1432,667,610,41,"1,318",114,915,18,500,13,271,0,41,812,13,103,5,517,167,339,506,11,174,60,111,171,3,129,71,6,77,52,124,69,6,75,49,5,2,2,3,199,191,8
WI-502,241,123,107,0,230,11,142,2,89,2,42,0,0,131,2,11,0,99,34,65,99,0,32,11,21,32,0,10,10,0,10,0,10,10,0,10,0,0,0,0,0,35,35,0
WI-503,736,366,280,13,659,77,420,4,215,0,120,0,13,348,0,72,4,316,151,160,311,5,101,44,56,100,1,115,64,13,77,38,95,44,13,57,38,20,20,20,0,25,21,4
WV-500,116,80,26,0,106,10,85,0,71,0,4,0,0,75,0,10,0,31,9,22,31,0,12,3,9,12,0,58,44,0,44,14,29,22,0,22,7,29,22,22,7,10,10,0
WV-501,274,132,89,14,235,39,176,0,86,0,37,0,14,137,0,39,0,98,46,52,98,0,27,13,14,27,0,37,14,9,23,14,33,10,9,19,14,4,4,4,0,21,13,8
WV-503,416,242,116,0,358,58,306,5,160,5,91,0,0,251,5,55,0,110,82,25,107,3,40,30,9,39,1,64,49,0,49,15,64,49,0,49,15,0,0,0,0,47,38,9
WV-508,1604,560,274,0,834,770,"1,175",27,410,1,160,0,0,570,1,605,26,429,150,114,264,165,164,51,36,87,77,251,99,0,99,152,220,82,0,82,138,31,17,17,14,190,158,32
WY-500,1813,231,244,0,475,"1,338","1,302",11,172,0,120,0,0,292,0,"1,010",11,511,59,124,183,328,171,25,32,57,114,452,99,0,99,353,375,97,0,97,278,77,2,2,75,311,128,183
